k,silhouette_score,davies_bouldin_index,inertia,min_cluster_size,min_cluster_pct
2,0.7376591953978047,0.5561222918074538,206312.09152057976,2924,0.030643470970446448
3,0.45456577595392217,0.7608562854646657,141058.45766270216,2921,0.030612031020750368
4,0.48714085656013706,0.6834640694580423,94361.82372507609,2466,0.02584363865017816
5,0.4133497851533434,0.7551800845682101,79386.82958546956,2370,0.024837560259903583
6,0.43200069724263196,0.703852509421855,65056.1432780868,540,0.005659190945294487
7,0.43493596362866355,0.7267550157722836,55458.63789531704,239,0.002504715992454412
8,0.44352225646686,0.7510353967874941,49757.62850331472,239,0.002504715992454412
